Lines-AR,JNose-AR,Manual-AR,Lines-CTL,JNose-CTL,Manual-CTL,Lines-CI,JNose-CI,Manual-CI,Lines-DA,JNose-DA,Manual-DA,Lines-MNT,JNose-MNT,Manual-MNT,Line-VT,JNose-VT,Manual-VT,Line-ST,JNose-ST,Manual-ST,Line-EmT,JNose-EmT,Manual-EmT,Line-UT,JNose-UT,Manual-UT,Line-PS,JNose-PS,Manual-PS,Line-ECT,JNose-ECT,Manual-ECT,Line-SE,JNose-SE,Manual-SE,Line-RA,JNose-RA,Manual-RA,Line-RO,JNose-RO,Manual-RO,Line-GF,JNose-GF,Manual-GF,Line-MG,JNose-MG,Manual-MG,Line-LT,JNose-LT,Manual-LT,Line-ET,JNose-ET,Manual-ET
53,TRUE,TRUE,33-35,TRUE,TRUE,15-20,TRUE,TRUE,"17, 20",TRUE,TRUE,88,TRUE,TRUE,23-93,TRUE,TRUE,53-53,TRUE,TRUE,96-100,TRUE,TRUE,22-39,TRUE,TRUE,73,TRUE,TRUE,65-73,TRUE,TRUE,81,TRUE,TRUE,34,TRUE,TRUE,63-88,FALSE,TRUE,67,TRUE,TRUE,22-39,FALSE,TRUE,"77, 54",TRUE,TRUE,"53, 54",TRUE,TRUE
54,TRUE,TRUE,36-38,TRUE,TRUE,24-30,TRUE,TRUE,"-53, 54-",FALSE,TRUE,90,TRUE,TRUE,68-98,TRUE,TRUE,38-38,TRUE,TRUE,24-27,TRUE,TRUE,39-52,TRUE,TRUE,75,TRUE,TRUE,67-87,TRUE,TRUE,81,TRUE,TRUE,39,TRUE,TRUE,22-39,FALSE,TRUE,77,FALSE,TRUE,34-50,FALSE,TRUE,"71, 52",TRUE,TRUE,"30, 74",TRUE,TRUE
77,TRUE,TRUE,39-41,TRUE,TRUE,53-61,TRUE,TRUE,"53, 65",TRUE,TRUE,64,TRUE,TRUE,15-54,TRUE,TRUE,67-67,TRUE,TRUE,13-16,TRUE,TRUE,26-31,TRUE,TRUE,84,TRUE,TRUE,36-38,TRUE,TRUE,48,TRUE,TRUE,78,TRUE,TRUE,51-75,FALSE,TRUE,80,FALSE,TRUE,51-75,FALSE,TRUE,"37, 33, 22",TRUE,TRUE,"21, 22",TRUE,TRUE
25,TRUE,TRUE,42-44,TRUE,TRUE,47-52,TRUE,TRUE,"56, 62",TRUE,TRUE,66,TRUE,TRUE,61-95,TRUE,TRUE,,,,18-21,TRUE,TRUE,57-67,TRUE,TRUE,81,TRUE,TRUE,62-69,TRUE,TRUE,82,TRUE,TRUE,79,TRUE,TRUE,34-50,FALSE,TRUE,82,TRUE,TRUE,34-39,TRUE,TRUE,"44, 43, 33, 31",TRUE,TRUE,"31, 32, 33, 35, 36, 37",TRUE,TRUE
26,TRUE,TRUE,45-47,TRUE,TRUE,54-60,TRUE,TRUE,"39, 45",TRUE,TRUE,53,TRUE,TRUE,16-84,TRUE,TRUE,,,,23-25,TRUE,TRUE,82-93,TRUE,TRUE,90,TRUE,TRUE,79-87,TRUE,TRUE,42-43,TRUE,TRUE,31,TRUE,TRUE,74-85,TRUE,TRUE,60,TRUE,TRUE,41-46,TRUE,TRUE,"51, 48, 32",TRUE,TRUE,"46, 47, 52, 55, 61, 64",TRUE,TRUE
28,TRUE,TRUE,48-50,TRUE,TRUE,,,,"41, 47",TRUE,TRUE,56,TRUE,TRUE,,,,,,,56-70,TRUE,TRUE,50-63,TRUE,TRUE,83,TRUE,TRUE,59-64,TRUE,TRUE,43,TRUE,TRUE,,,,34-39,TRUE,TRUE,61,TRUE,TRUE,26-31,TRUE,TRUE,"46, 30",TRUE,TRUE,"78, 79","41, 44, 07",TRUE
29,TRUE,TRUE,77-80,TRUE,TRUE,,,,"42, 48",TRUE,TRUE,62,TRUE,TRUE,,,,,,,77-93,TRUE,TRUE,27-31,TRUE,TRUE,80,TRUE,TRUE,73-83,TRUE,TRUE,55-56,TRUE,TRUE,,,,41-46,TRUE,TRUE,62,TRUE,TRUE,33-40,TRUE,TRUE,"53, 36",TRUE,TRUE,"71, 74, 78, 79, 85, 86",TRUE,TRUE
30,TRUE,TRUE,72-81,TRUE,TRUE,,,,"16, 19",TRUE,TRUE,65,TRUE,TRUE,,,,,,,,,,13-17,TRUE,TRUE,82,TRUE,TRUE,,,,,,,,,,26-31,TRUE,TRUE,66,TRUE,TRUE,50-63,TRUE,TRUE,"56, 55, 38",TRUE,TRUE,"38, 41, 44",TRUE,TRUE
31,TRUE,TRUE,83-85,TRUE,TRUE,,,,"44, 46",TRUE,TRUE,72,TRUE,TRUE,,,,,,,,,,49-65,TRUE,TRUE,85,TRUE,TRUE,,,,,,,,,,33-40,TRUE,TRUE,67,TRUE,TRUE,15-54,FALSE,TRUE,"57, 39",TRUE,TRUE,"-73, 74, 75-",FALSE,TRUE
32,TRUE,TRUE,86-91,TRUE,TRUE,,,,"30, 44",TRUE,TRUE,76,TRUE,TRUE,,,,,,,,,,79-82,TRUE,TRUE,,,,,,,,,,,,,50-63,TRUE,TRUE,51,TRUE,TRUE,46-73,TRUE,TRUE,"54, 37",TRUE,TRUE,"30, 32, 33, 35, 36",TRUE,TRUE
33,TRUE,TRUE,74-76,TRUE,TRUE,,,,"31, 45",TRUE,TRUE,80,TRUE,TRUE,,,,,,,,,,22-47,TRUE,TRUE,,,,,,,,,,,,,15-54,FALSE,TRUE,50,TRUE,TRUE,38-46,TRUE,TRUE,"38, 29",TRUE,TRUE,"46, 48, 49, 51",TRUE,TRUE
88,TRUE,TRUE,73-75,TRUE,TRUE,,,,"32, 46",TRUE,TRUE,82,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,46-73,TRUE,TRUE,52,TRUE,TRUE,61-95,FALSE,TRUE,"45, 38, 31",TRUE,TRUE,"31, 32, 33",TRUE,TRUE
90,TRUE,TRUE,77-83,TRUE,TRUE,,,,"33, 47",TRUE,TRUE,42,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,38-46,TRUE,TRUE,30,TRUE,TRUE,62-89,FALSE,TRUE,"90, 63",TRUE,TRUE,"41, 42, 43, 44, 45, 46, 47, 48",TRUE,TRUE
17,TRUE,TRUE,46-48,TRUE,TRUE,,,,"36, 50",TRUE,TRUE,48,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,61-95,FALSE,TRUE,40,TRUE,TRUE,37-44,FALSE,TRUE,"90, 63",TRUE,TRUE,"36, 37, 38, 39",TRUE,TRUE
20,TRUE,TRUE,28-30,TRUE,TRUE,,,,"37, 51",TRUE,TRUE,91,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,62-89,FALSE,TRUE,46,TRUE,TRUE,,,,"104, 78",TRUE,TRUE,"53, 54, 55, 56, 57",TRUE,TRUE
23,TRUE,TRUE,94-96,TRUE,TRUE,,,,"38, 52",TRUE,TRUE,66,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,37-44,FALSE,TRUE,69,TRUE,TRUE,,,,"61, 54, 47",TRUE,TRUE,"16, 19",TRUE,TRUE
29,TRUE,TRUE,41-42,TRUE,TRUE,,,,"39, 53",TRUE,TRUE,45,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,TRUE,TRUE,,,,"58, 57, 46",TRUE,TRUE,65,TRUE,TRUE
42,TRUE,TRUE,38-49,TRUE,TRUE,,,,,,,44,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,TRUE,TRUE,,,,"30, 25",TRUE,TRUE,"40, 41",TRUE,TRUE
50,TRUE,TRUE,22-24,TRUE,TRUE,,,,,,,46,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,TRUE,TRUE,,,,"82, 76, 70, 64",TRUE,TRUE,"51, 54, 55",TRUE,TRUE
51,TRUE,TRUE,52-54,TRUE,TRUE,,,,,,,71,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,TRUE,TRUE,,,,"35, 32, 29, 16, 14",TRUE,TRUE,"37, 38",TRUE,TRUE
67,TRUE,TRUE,57-59,TRUE,TRUE,,,,,,,90,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18, 12",TRUE,TRUE,"42, 43, 45",TRUE,TRUE
69,TRUE,TRUE,64-66,TRUE,TRUE,,,,,,,48,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19, 13",TRUE,TRUE,"45, 48, 51, 52, 53",FALSE,TRUE
21,TRUE,TRUE,67-69,TRUE,TRUE,,,,,,,55,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53, 47",TRUE,TRUE,"-39, 46-",FALSE,TRUE
22,TRUE,TRUE,83-87,TRUE,TRUE,,,,,,,62,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55, 70",FALSE,TRUE,"20, 22, 23",TRUE,TRUE
31,TRUE,TRUE,78-89,TRUE,TRUE,,,,,,,44,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71, 57",TRUE,TRUE,"84, 90",TRUE,TRUE
32,TRUE,TRUE,74-94,TRUE,TRUE,,,,,,,30,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82, 63",TRUE,TRUE,"28, 30, 31, 32, 33, 35, 38, 39, 42, 44, 45, 46, 47, 49, 52, 53",TRUE,TRUE
33,TRUE,TRUE,76-81,TRUE,TRUE,,,,,,,31,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81, 63",TRUE,TRUE,"14, 16",TRUE,TRUE
35,TRUE,TRUE,39-62,TRUE,TRUE,,,,,,,44,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"84, 64",TRUE,TRUE,22,TRUE,TRUE
36,TRUE,TRUE,42-44,TRUE,TRUE,,,,,,,45,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69, 56",TRUE,TRUE,"28, 29, 31, 32, 34, 35",TRUE,TRUE
37,TRUE,TRUE,37-45,TRUE,TRUE,,,,,,,25,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12, 13, 15, 16, 17, 19, 20",TRUE,TRUE
53,TRUE,TRUE,31-46,TRUE,TRUE,,,,,,,30,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-87, 88, 90, 91, 93, 94, 96, 97, 98, 100, 101, 102, 103, 104, 106, 107, 108, 109, 110-",FALSE,TRUE
54,TRUE,TRUE,,,,,,,,,,53,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12, 13",TRUE,TRUE
50,TRUE,TRUE,,,,,,,,,,58,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18, 19",TRUE,TRUE
51,TRUE,TRUE,,,,,,,,,,87,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11, 12, 13, 14",TRUE,TRUE
62,TRUE,TRUE,,,,,,,,,,88,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"56, 57, 63",TRUE,TRUE
64,TRUE,TRUE,,,,,,,,,,90,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71, 82",TRUE,TRUE
66,TRUE,TRUE,,,,,,,,,,91,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71, 72, 74, 75, 79, 92",TRUE,TRUE
70,TRUE,TRUE,,,,,,,,,,93,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37, 39, 40, 41, 42, 43",TRUE,TRUE
71,TRUE,TRUE,,,,,,,,,,94,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73, 74, 78, 79",TRUE,TRUE
77,TRUE,TRUE,,,,,,,,,,96,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39, 40, 41, 42",TRUE,TRUE
80,TRUE,TRUE,,,,,,,,,,97,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"56, 57",TRUE,TRUE
80,TRUE,TRUE,,,,,,,,,,98,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69, 70, 71, 74",TRUE,TRUE
85,TRUE,TRUE,,,,,,,,,,100,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63, 64",TRUE,TRUE
86,TRUE,TRUE,,,,,,,,,,101,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81, 84",TRUE,TRUE
87,TRUE,TRUE,,,,,,,,,,102,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32, 35, 39",TRUE,TRUE
88,TRUE,TRUE,,,,,,,,,,103,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41, 44, 47",TRUE,TRUE
89,TRUE,TRUE,,,,,,,,,,104,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,TRUE,TRUE,,,,,,,,,,106,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,TRUE,TRUE,,,,,,,,,,107,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,TRUE,TRUE,,,,,,,,,,108,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,TRUE,TRUE,,,,,,,,,,109,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,TRUE,TRUE,,,,,,,,,,110,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,TRUE,TRUE,,,,,,,,,,86,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,TRUE,TRUE,,,,,,,,,,66,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,TRUE,TRUE,,,,,,,,,,55,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,TRUE,TRUE,,,,,,,,,,57,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,TRUE,TRUE,,,,,,,,,,73,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
